"","cohort","Country","Sex","B0_50100","B0_50110","B1_50100","B1_50110","compression.one_50100","compression.one_50110","compression.twoThird_50100","compression.twoThird_50110","postponement.one_50100","postponement.one_50110","postponement.twoThird_50100","postponement.twoThird_50110"
"51",1921,"Australia","Male",-4.90940339118054,-4.90712976610406,0.0777786864236481,0.0776297085089745,1.55041803492107,1.5287584916262,1.48198918739084,1.46132545181911,0.671710321291069,0.700633522774847,0.740139787518444,0.768066509329703
"52",1922,"Australia","Male",-4.92583090395455,-4.92321680270629,0.0773528245597897,0.0772036339818131,1.57388560616591,1.56287971912876,1.50438838352363,1.49393233728314,0.748136174186925,0.762915289809165,0.817632972479597,0.831861913354288
"53",1923,"Australia","Male",-4.93680713933752,-4.93514831175978,0.0767404782865311,0.07665047928023,1.5645561074791,1.53450261183485,1.49551581365318,1.46679967509426,0.858219143415504,0.890745066918189,0.92725727792654,0.958445109399587
"54",1924,"Australia","Male",-4.94371322890001,-4.94159596952062,0.0759588012836677,0.0758362472858213,1.53803377405907,1.51929452418926,1.47028701397067,1.45241190463966,0.988419653916829,1.01124319435408,1.05616228212531,1.07812122867535
"55",1925,"Australia","Male",-4.96482223082343,-4.9607691729815,0.075448750698539,0.0752051599190621,1.47488242071031,1.4403797257048,1.40987356746186,1.37696537318649,1.14027836477968,1.1843193634991,1.20528066796573,1.24772635568303
"56",1926,"Australia","Male",-5.00786501596479,-5.00490629557305,0.075373241520605,0.0751989601389375,1.53351356815479,1.52611061119167,1.46548563228984,1.45849416857729,1.27572570794717,1.28710612486192,1.34374581561453,1.35471462417399
"57",1927,"Australia","Male",-5.02512749039835,-5.02193941722604,0.0747065373811958,0.0745200615682238,1.45959398420223,1.44485961183142,1.39489280205271,1.38088456370043,1.4389674609323,1.46020685038506,1.50365846056323,1.52417144364838
"58",1928,"Australia","Male",-5.05414208963265,-5.05052777036281,0.0744136004017676,0.0741809024980164,1.50011811049546,1.49925449626659,1.43343864795705,1.43271962330071,1.54707802388623,1.55933240249083,1.61374656861135,1.6258564085314
"59",1929,"Australia","Male",-5.09765791489803,-5.09563488745192,0.0744894668995926,0.0743439661660435,1.64554346496676,1.64239795861352,1.57189161993512,1.56895692286471,1.62628931763902,1.63659633292937,1.69993053696722,1.71002671451155
"60",1930,"Australia","Male",-5.12350548741957,-5.12109642410045,0.0741861587949895,0.07404427941492,1.79279365304334,1.79511701057602,1.7122959454367,1.71461141934308,1.70048882089021,1.70004923300332,1.78097654514348,1.78054499752288
"61",1931,"Australia","Male",-5.18089802692326,-5.1786165277781,0.0745153829913606,0.0743780696133313,1.87708156725897,1.88063304122318,1.79209905001044,1.79558829839362,1.7910334307783,1.78969758667214,1.87600553126363,1.87473209231586
"62",1932,"Australia","Male",-5.21014706649727,-5.20577022445675,0.0741296975914921,0.0738643337053444,1.9764736665521,1.96830028373633,1.88687761385286,1.87922326421641,1.85883939822155,1.88279186516315,1.94842556984149,1.97185887522448
"63",1933,"Australia","Male",-5.25372828959549,-5.25164235561853,0.0741115874603813,0.0739889864928571,2.21655456194132,2.2162422837078,2.1155579996907,2.11534334587047,1.86983742204787,1.87737798717342,1.97082605944827,1.97826899361914
"64",1934,"Australia","Male",-5.28467389088645,-5.28281435224091,0.0737683268557385,0.0736871346441737,2.40638293370379,2.41205096158826,2.29659529955556,2.30210272086649,1.88163769460476,1.87260998439852,1.99141898970544,1.98255205876221
"65",1935,"Australia","Male",-5.31023146444945,-5.30651824001264,0.0733119616095702,0.0730820997488748,2.45652545966894,2.46689844633263,2.34462861703971,2.35473384633719,1.91201707176852,1.91207069658443,2.02390803830322,2.0242295952502
"66",1936,"Australia","Male",-5.3521593232149,-5.34656016753682,0.0732997704786849,0.0729405508141037,2.45568425764639,2.44316173550345,2.34372064019297,2.33200114039716,1.91974398164261,1.96189507284755,2.03170194914229,2.07304972683302
"67",1937,"Australia","Male",-5.39144558894558,-5.39262753765545,0.0732821084692074,0.0733413390180441,2.63417042986658,2.67135189317919,2.51385019113299,2.54937145755441,1.85995581915227,1.81044987864058,1.98027215880377,1.93242701925425
"68",1938,"Australia","Male",-5.41228867013238,-5.40475234919579,0.0728831388341504,0.0724124642965544,2.59083584831512,2.57162857248878,2.47285507966347,2.45485918136464,1.87634134496965,1.93071813183684,1.9943181413809,2.04748317186688
"69",1939,"Australia","Male",-5.46242396173432,-5.46453353182247,0.0732344807912112,0.0733675465251678,2.63804150652928,2.67235595608415,2.51740708842877,2.55015913129753,1.85046857252624,1.78771799531694,1.97109959849887,1.90991207880254
"70",1940,"Australia","Male",-5.4946070966074,-5.48896383430643,0.0730346989800773,0.0727601315510686,2.69617227973569,2.67878906564573,2.57280353082364,2.55645649427577,1.8698552816626,1.89633653572633,1.99322097673768,2.01866582680034
"71",1941,"Australia","Male",-5.52333694827395,-5.52085997375668,0.0727659679274748,0.0726145804566078,2.4864865337947,2.48992423079672,2.37298216342014,2.37639291254755,1.94609510010639,1.95103470694131,2.05959509867203,2.06456168807865
"72",1942,"Australia","Male",-5.53094034267674,-5.52588703547997,0.0721887645475012,0.071839989803124,2.34878207362982,2.35282809143895,2.2423014296816,2.24641054559226,1.92903147008547,1.95539829028733,2.03550758319564,2.06181127808065
"73",1943,"Australia","Male",-5.56293425694652,-5.56173216869777,0.0723734102041755,0.0722551732948694,2.2691419486477,2.27942724528006,2.16635984450788,2.17625841870663,1.83606952346155,1.84025017218765,1.9388475326815,1.94341496500026
"74",1944,"Australia","Male",-5.60388626835068,-5.59959805294121,0.0727565462318564,0.0725110721683346,2.35354993027157,2.33889880087292,2.24676141234141,2.23291303426423,1.67400947520778,1.71606715936817,1.78079548371213,1.82205011022153
"75",1945,"Australia","Male",-5.63290478179993,-5.63303961112706,0.0728482540545223,0.0728614399643012,2.39541536853219,2.43123187018176,2.28684189762926,2.3211333370222,1.53117261821832,1.47128205331255,1.6397448069802,1.58137982768313
"76",1946,"Australia","Male",-5.64898964481604,-5.64180535322977,0.072708822205618,0.0722313462200169,2.2108011878126,2.21095210576127,2.11102471056626,2.11150020721547,1.46806494114767,1.50239700359781,1.56783991163417,1.60184722497808
"77",1947,"Australia","Male",-5.70244764481539,-5.70357742919816,0.073476801099804,0.0735420720980185,2.31488340904642,2.31249073272195,2.20981944417227,2.20748492424782,1.28947545632172,1.28706940213512,1.39453957706782,1.39207538100144
"78",1948,"Australia","Male",-5.72751382711075,-5.72151419681581,0.0734854433905393,0.0731901011200717,2.35988295402581,2.38772465054287,2.25284676183603,2.27980000421134,1.1820934833728,1.13089327970697,1.2891307054149,1.23881927322461
"79",1949,"Australia","Male",-5.73933018089905,-5.74056507622182,0.0732722956955619,0.0734031834442053,2.07064404687033,2.06019695599574,1.97709937508716,1.96704314056289,1.20359113141722,1.19962097411555,1.29713566043051,1.29277464069521
"80",1950,"Australia","Male",-5.73885691541929,-5.73363853872589,0.0728840973828898,0.0726092437334214,1.83813104535918,1.8488272601959,1.75571385675467,1.76611670722951,1.12474114277433,1.12772916134668,1.20715782930725,1.2104392257739
"81",1951,"Australia","Male",-5.76204575715453,-5.76397305725381,0.0731267567250152,0.0733209104186529,1.8049055264143,1.84160657387919,1.72409882002388,1.75917109687106,0.932225221230546,0.834020482982261,1.013032500779,0.916457252475624
"82",1952,"Australia","Male",-5.76712546128752,-5.76364803920575,0.0728997555659746,0.0728132946813263,1.80201651262426,1.8234020799469,1.7216893434815,1.74232475148168,0.803146522839775,0.719297112934385,0.883474941595097,0.800376170498382
